2022-06-15 10:59:02,171 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_130, t=266.000,000,000 s
2022-06-15 10:59:02,312 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_134, t=274.000,000,000 s
2022-06-15 10:59:02,461 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_138, t=282.000,000,000 s
2022-06-15 10:59:02,535 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_140, t=286.000,000,000 s
2022-06-15 10:59:02,675 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_144, t=294.000,000,000 s
2022-06-15 10:59:02,811 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_148, t=302.000,000,000 s
2022-06-15 10:59:02,871 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_150, t=306.000,000,000 s
2022-06-15 10:59:02,986 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_154, t=314.000,000,000 s
2022-06-15 10:59:03,078 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_158, t=322.000,000,000 s
2022-06-15 10:59:03,119 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_160, t=326.000,000,000 s
2022-06-15 10:59:03,184 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_164, t=334.000,000,000 s
2022-06-15 10:59:03,248 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_168, t=342.000,000,000 s
2022-06-15 10:59:03,280 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_170, t=346.000,000,000 s
2022-06-15 10:59:03,342 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_174, t=354.000,000,000 s
2022-06-15 10:59:03,407 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_178, t=362.000,000,000 s
2022-06-15 10:59:03,441 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_180, t=366.000,000,000 s
2022-06-15 10:59:03,459 INFO  CellAmbassador - Removed VEH (id=veh_0) from simulation, t=368.000,000,000 s
2022-06-15 10:59:03,482 INFO  CellAmbassador - Removed VEH (id=veh_4) from simulation, t=371.000,000,000 s
2022-06-15 10:59:03,498 INFO  CellAmbassador - Removed VEH (id=veh_8) from simulation, t=373.000,000,000 s
2022-06-15 10:59:03,507 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_184, t=374.000,000,000 s
2022-06-15 10:59:03,516 INFO  CellAmbassador - Removed VEH (id=veh_10) from simulation, t=375.000,000,000 s
2022-06-15 10:59:03,540 INFO  CellAmbassador - Removed VEH (id=veh_14) from simulation, t=378.000,000,000 s
2022-06-15 10:59:03,617 INFO  CellAmbassador - Removed VEH (id=veh_18) from simulation, t=381.000,000,000 s
2022-06-15 10:59:03,635 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_188, t=382.000,000,000 s
2022-06-15 10:59:03,652 INFO  CellAmbassador - Removed VEH (id=veh_20) from simulation, t=383.000,000,000 s
2022-06-15 10:59:03,706 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_190, t=386.000,000,000 s
2022-06-15 10:59:03,756 INFO  CellAmbassador - Removed VEH (id=veh_24) from simulation, t=389.000,000,000 s
2022-06-15 10:59:03,854 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_194, t=394.000,000,000 s
2022-06-15 10:59:04,031 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_198, t=402.000,000,000 s
2022-06-15 10:59:05,248 INFO  CellAmbassador - Removed VEH (id=veh_28) from simulation, t=447.000,000,000 s
2022-06-15 10:59:05,401 INFO  CellAmbassador - Removed VEH (id=veh_30) from simulation, t=453.000,000,000 s
2022-06-15 10:59:05,632 INFO  CellAmbassador - Removed VEH (id=veh_34) from simulation, t=462.000,000,000 s
2022-06-15 10:59:06,485 INFO  CellAmbassador - Removed VEH (id=veh_38) from simulation, t=497.000,000,000 s
2022-06-15 10:59:06,599 INFO  CellAmbassador - Removed VEH (id=veh_40) from simulation, t=502.000,000,000 s
2022-06-15 10:59:06,761 INFO  CellAmbassador - Removed VEH (id=veh_44) from simulation, t=509.000,000,000 s
2022-06-15 10:59:07,339 INFO  CellAmbassador - Removed VEH (id=veh_48) from simulation, t=535.000,000,000 s
2022-06-15 10:59:07,447 INFO  CellAmbassador - Removed VEH (id=veh_50) from simulation, t=540.000,000,000 s
2022-06-15 10:59:07,614 INFO  CellAmbassador - Removed VEH (id=veh_54) from simulation, t=548.000,000,000 s
