2022-06-15 10:58:59,623 INFO  SnsAmbassador - Added Vehicle id=veh_39 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=85.000,000,000 s
2022-06-15 10:58:59,653 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_41 @time=88.000,000,000 s
2022-06-15 10:58:59,658 INFO  SnsAmbassador - Added Vehicle id=veh_41 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=89.000,000,000 s
2022-06-15 10:58:59,684 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_43 @time=92.000,000,000 s
2022-06-15 10:58:59,689 INFO  SnsAmbassador - Added Vehicle id=veh_43 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=93.000,000,000 s
2022-06-15 10:58:59,723 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_45 @time=96.000,000,000 s
2022-06-15 10:58:59,729 INFO  SnsAmbassador - Added Vehicle id=veh_45 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=97.000,000,000 s
2022-06-15 10:58:59,758 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_47 @time=100.000,000,000 s
2022-06-15 10:58:59,764 INFO  SnsAmbassador - Added Vehicle id=veh_47 position=GeoPoint{lat=52.655992,lon=13.569113,alt=0.00} @time=101.000,000,000 s
2022-06-15 10:58:59,801 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_49 @time=104.000,000,000 s
2022-06-15 10:58:59,809 INFO  SnsAmbassador - Added Vehicle id=veh_49 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=105.000,000,000 s
2022-06-15 10:58:59,845 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_51 @time=108.000,000,000 s
2022-06-15 10:58:59,853 INFO  SnsAmbassador - Added Vehicle id=veh_51 position=GeoPoint{lat=52.655997,lon=13.569114,alt=0.00} @time=109.000,000,000 s
2022-06-15 10:58:59,888 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_53 @time=112.000,000,000 s
2022-06-15 10:58:59,896 INFO  SnsAmbassador - Added Vehicle id=veh_53 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=113.000,000,000 s
2022-06-15 10:58:59,938 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_55 @time=116.000,000,000 s
2022-06-15 10:58:59,947 INFO  SnsAmbassador - Added Vehicle id=veh_55 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=117.000,000,000 s
2022-06-15 10:58:59,986 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_57 @time=120.000,000,000 s
2022-06-15 10:58:59,998 INFO  SnsAmbassador - Added Vehicle id=veh_57 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=121.000,000,000 s
2022-06-15 10:59:00,051 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_59 @time=124.000,000,000 s
2022-06-15 10:59:00,063 INFO  SnsAmbassador - Added Vehicle id=veh_59 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=125.000,000,000 s
2022-06-15 10:59:00,110 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_61 @time=128.000,000,000 s
2022-06-15 10:59:00,121 INFO  SnsAmbassador - Added Vehicle id=veh_61 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=129.000,000,000 s
2022-06-15 10:59:00,163 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_63 @time=132.000,000,000 s
2022-06-15 10:59:00,173 INFO  SnsAmbassador - Added Vehicle id=veh_63 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=133.000,000,000 s
2022-06-15 10:59:00,215 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_65 @time=136.000,000,000 s
2022-06-15 10:59:00,224 INFO  SnsAmbassador - Added Vehicle id=veh_65 position=GeoPoint{lat=52.655997,lon=13.569114,alt=0.00} @time=137.000,000,000 s
2022-06-15 10:59:00,259 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_67 @time=140.000,000,000 s
2022-06-15 10:59:00,269 INFO  SnsAmbassador - Added Vehicle id=veh_67 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=141.000,000,000 s
2022-06-15 10:59:00,311 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_69 @time=144.000,000,000 s
2022-06-15 10:59:00,321 INFO  SnsAmbassador - Added Vehicle id=veh_69 position=GeoPoint{lat=52.655997,lon=13.569114,alt=0.00} @time=145.000,000,000 s
2022-06-15 10:59:00,361 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_71 @time=148.000,000,000 s
2022-06-15 10:59:00,370 INFO  SnsAmbassador - Added Vehicle id=veh_71 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=149.000,000,000 s
2022-06-15 10:59:00,410 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_73 @time=152.000,000,000 s
2022-06-15 10:59:00,420 INFO  SnsAmbassador - Added Vehicle id=veh_73 position=GeoPoint{lat=52.655994,lon=13.569114,alt=0.00} @time=153.000,000,000 s
2022-06-15 10:59:00,465 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_75 @time=156.000,000,000 s
2022-06-15 10:59:00,475 INFO  SnsAmbassador - Added Vehicle id=veh_75 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=157.000,000,000 s
2022-06-15 10:59:00,512 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_77 @time=160.000,000,000 s
2022-06-15 10:59:00,523 INFO  SnsAmbassador - Added Vehicle id=veh_77 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=161.000,000,000 s
2022-06-15 10:59:00,569 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_79 @time=164.000,000,000 s
2022-06-15 10:59:00,581 INFO  SnsAmbassador - Added Vehicle id=veh_79 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=165.000,000,000 s
2022-06-15 10:59:00,631 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_81 @time=168.000,000,000 s
2022-06-15 10:59:00,643 INFO  SnsAmbassador - Added Vehicle id=veh_81 position=GeoPoint{lat=52.655992,lon=13.569113,alt=0.00} @time=169.000,000,000 s
2022-06-15 10:59:00,685 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_83 @time=172.000,000,000 s
2022-06-15 10:59:00,698 INFO  SnsAmbassador - Added Vehicle id=veh_83 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=173.000,000,000 s
2022-06-15 10:59:00,748 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_85 @time=176.000,000,000 s
2022-06-15 10:59:00,759 INFO  SnsAmbassador - Added Vehicle id=veh_85 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=177.000,000,000 s
2022-06-15 10:59:00,803 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_87 @time=180.000,000,000 s
2022-06-15 10:59:00,814 INFO  SnsAmbassador - Added Vehicle id=veh_87 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=181.000,000,000 s
2022-06-15 10:59:00,859 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_89 @time=184.000,000,000 s
2022-06-15 10:59:00,874 INFO  SnsAmbassador - Added Vehicle id=veh_89 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=185.000,000,000 s
2022-06-15 10:59:00,919 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_91 @time=188.000,000,000 s
2022-06-15 10:59:00,931 INFO  SnsAmbassador - Added Vehicle id=veh_91 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=189.000,000,000 s
2022-06-15 10:59:00,974 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_93 @time=192.000,000,000 s
2022-06-15 10:59:00,985 INFO  SnsAmbassador - Added Vehicle id=veh_93 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=193.000,000,000 s
2022-06-15 10:59:01,033 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_95 @time=196.000,000,000 s
2022-06-15 10:59:01,045 INFO  SnsAmbassador - Added Vehicle id=veh_95 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=197.000,000,000 s
2022-06-15 10:59:01,088 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_97 @time=200.000,000,000 s
2022-06-15 10:59:01,100 INFO  SnsAmbassador - Added Vehicle id=veh_97 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=201.000,000,000 s
2022-06-15 10:59:01,143 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_99 @time=204.000,000,000 s
2022-06-15 10:59:01,160 INFO  SnsAmbassador - Added Vehicle id=veh_99 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=205.000,000,000 s
2022-06-15 10:59:01,204 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_101 @time=208.000,000,000 s
2022-06-15 10:59:01,220 INFO  SnsAmbassador - Added Vehicle id=veh_101 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=209.000,000,000 s
2022-06-15 10:59:01,267 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_103 @time=212.000,000,000 s
2022-06-15 10:59:01,280 INFO  SnsAmbassador - Added Vehicle id=veh_103 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=213.000,000,000 s
2022-06-15 10:59:01,333 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_105 @time=216.000,000,000 s
2022-06-15 10:59:01,347 INFO  SnsAmbassador - Added Vehicle id=veh_105 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=217.000,000,000 s
2022-06-15 10:59:01,392 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_107 @time=220.000,000,000 s
2022-06-15 10:59:01,405 INFO  SnsAmbassador - Added Vehicle id=veh_107 position=GeoPoint{lat=52.655992,lon=13.569113,alt=0.00} @time=221.000,000,000 s
2022-06-15 10:59:01,451 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_109 @time=224.000,000,000 s
2022-06-15 10:59:01,467 INFO  SnsAmbassador - Added Vehicle id=veh_109 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=225.000,000,000 s
2022-06-15 10:59:01,524 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_111 @time=228.000,000,000 s
2022-06-15 10:59:01,537 INFO  SnsAmbassador - Added Vehicle id=veh_111 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=229.000,000,000 s
2022-06-15 10:59:01,586 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_113 @time=232.000,000,000 s
2022-06-15 10:59:01,600 INFO  SnsAmbassador - Added Vehicle id=veh_113 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=233.000,000,000 s
2022-06-15 10:59:01,653 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_115 @time=236.000,000,000 s
2022-06-15 10:59:01,667 INFO  SnsAmbassador - Added Vehicle id=veh_115 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=237.000,000,000 s
2022-06-15 10:59:01,721 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_117 @time=240.000,000,000 s
2022-06-15 10:59:01,737 INFO  SnsAmbassador - Added Vehicle id=veh_117 position=GeoPoint{lat=52.655992,lon=13.569113,alt=0.00} @time=241.000,000,000 s
2022-06-15 10:59:01,789 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_119 @time=244.000,000,000 s
